"ds" "trend" "additive_terms" "additive_terms_lower" "additive_terms_upper" "yearly" "yearly_lower" "yearly_upper" "multiplicative_terms" "multiplicative_terms_lower" "multiplicative_terms_upper" "yhat_lower" "yhat_upper" "trend_lower" "trend_upper" "yhat"
"5764" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1647.19584980137 3390.16998808693 889.816102323167 889.816102323167 852.926502094024
"5765" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1855.97661056488 3381.54263361085 889.816102323167 889.816102323167 852.926502094024
"5766" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1730.9725364066 3394.67848987254 889.816102323167 889.816102323167 852.926502094024
"5767" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1695.10719264224 3342.24040145575 889.816102323167 889.816102323167 852.926502094024
"5768" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1763.90059542721 3527.86894810433 889.816102323167 889.816102323167 852.926502094024
"5769" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1757.31896597148 3453.41933947174 889.816102323167 889.816102323167 852.926502094024
"5770" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1719.42979938254 3449.0493460417 889.816102323167 889.816102323167 852.926502094024
"5771" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1883.64949919334 3259.85794140723 889.816102323167 889.816102323167 852.926502094024
"5772" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1774.49163532898 3305.88768552159 889.816102323167 889.816102323167 852.926502094024
"5773" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1889.62848010235 3581.45947689457 889.816102323167 889.816102323167 852.926502094024
"5774" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1583.44375081452 3460.9248252781 889.816102323167 889.816102323167 852.926502094024
"5775" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1792.01508460148 3483.85476451414 889.816102323167 889.816102323167 852.926502094024
"5776" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1781.18241851136 3280.47226453748 889.816102323167 889.816102323167 852.926502094024
"5777" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1605.58571940038 3357.19850256866 889.816102323167 889.816102323167 852.926502094024
"5778" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1719.68708811695 3414.25478474174 889.816102323167 889.816102323167 852.926502094024
"5779" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1849.52210808315 3404.93226499082 889.816102323167 889.816102323167 852.926502094024
"5780" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1744.24142498492 3453.56404152743 889.816102323167 889.816102323167 852.926502094024
"5781" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1646.65311662426 3248.16097538712 889.816102323167 889.816102323167 852.926502094024
"5782" 2014-07-01 889.816102323167 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 -36.8896002291434 0 0 0 -1885.68959713931 3446.13244120484 889.816102323167 889.816102323167 852.926502094024
"5783" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1534.5843212718 3350.86634512755 887.442302117232 887.442302117232 1013.53304876143
"5784" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1507.11106558278 3456.97835524446 887.442302117232 887.442302117232 1013.53304876143
"5785" 2014-08-01 887.442302117232 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 126.090746644203 0 0 0 -1536.60188067115 3656.40887439703 887.442302117232 887.442302117232 1013.53304876143
