"ds" "type" "y" "floor" "t" "y_scaled"
"223" 2001-02-01 "Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o" 2 0 0.0606662591687042 0.000150591069949552
"224" 2001-02-01 "Habeas Corpus" 122 0 0.0606662591687042 0.00918605526692267
"225" 2001-02-01 "Habeas Data" 1 0 0.0606662591687042 7.5295534974776e-05
"226" 2001-02-01 "Mandado de Seguran\xc3\xa7a" 8 0 0.0606662591687042 0.000602364279798208
"227" 2001-02-01 "Processo Crime" 1 0 0.0606662591687042 7.5295534974776e-05
"228" 2001-02-01 "Recurso de Of\xc3\xadcio" 1 0 0.0606662591687042 7.5295534974776e-05
"229" 2001-02-01 "Recurso em Sentido Estrito" 34 0 0.0606662591687042 0.00256004818914238
"230" 2001-02-01 "Reexame Necess\xc3\xa1rio" 52 0 0.0606662591687042 0.00391536781868835
"231" 2001-03-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 2 0 0.0649449877750611 0.000150591069949552
"232" 2001-03-01 "Agravo" 185 0 0.0649449877750611 0.0139296739703336
"233" 2001-03-01 "Agravo de Instrumento" 778 0 0.0649449877750611 0.0585799262103757
"234" 2001-03-01 "Agravo em Execu\xc3\xa7\xc3\xa3o" 1 0 0.0649449877750611 7.5295534974776e-05
"235" 2001-03-01 "Agravo Interno" 45 0 0.0649449877750611 0.00338829907386492
"236" 2001-03-01 "Agravo Lei" 3 0 0.0649449877750611 0.000225886604924328
"237" 2001-03-01 "Agravo Regimental" 22 0 0.0649449877750611 0.00165650176944507
"238" 2001-03-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 2419 0 0.0649449877750611 0.182139899103983
"239" 2001-03-01 "Apela\xc3\xa7\xc3\xa3o Crime" 280 0 0.0649449877750611 0.0210827497929373
"240" 2001-03-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 257 0 0.0649449877750611 0.0193509524885174
"241" 2001-03-01 "Conflito de Compet\xc3\xaancia" 6 0 0.0649449877750611 0.000451773209848656
"242" 2001-03-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 565 0 0.0649449877750611 0.0425419772607484
"243" 2001-03-01 "Habeas Corpus" 135 0 0.0649449877750611 0.0101648972215948
"244" 2001-03-01 "Mandado de Seguran\xc3\xa7a" 5 0 0.0649449877750611 0.00037647767487388
"245" 2001-03-01 "Medida Cautelar" 1 0 0.0649449877750611 7.5295534974776e-05
"246" 2001-03-01 "Medida Cautelar Inominada" 1 0 0.0649449877750611 7.5295534974776e-05
"247" 2001-03-01 "Outros Feitos" 3 0 0.0649449877750611 0.000225886604924328
"248" 2001-03-01 "Processo Crime" 3 0 0.0649449877750611 0.000225886604924328
"249" 2001-03-01 "Recurso de Of\xc3\xadcio" 5 0 0.0649449877750611 0.00037647767487388
"250" 2001-03-01 "Recurso em Sentido Estrito" 52 0 0.0649449877750611 0.00391536781868835
"251" 2001-03-01 "Reexame Necess\xc3\xa1rio" 54 0 0.0649449877750611 0.0040659588886379
"252" 2001-03-01 "Termo Circunstanciado" 1 0 0.0649449877750611 7.5295534974776e-05
"253" 2001-04-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 3 0 0.0696821515892421 0.000225886604924328
"254" 2001-04-01 "Agravo" 115 0 0.0696821515892421 0.00865898652209924
"255" 2001-04-01 "Agravo de Instrumento" 582 0 0.0696821515892421 0.0438220013553196
"256" 2001-04-01 "Agravo em Execu\xc3\xa7\xc3\xa3o" 1 0 0.0696821515892421 7.5295534974776e-05
"257" 2001-04-01 "Agravo Interno" 40 0 0.0696821515892421 0.00301182139899104
"258" 2001-04-01 "Agravo Regimental" 21 0 0.0696821515892421 0.0015812062344703
